id_meta,n,d,area,type_synthesis
baker_2014,20,0.472672040177118,c,ma
baker_2014,20,-0.04000800240080028,c,ma
baker_2014,79,0.06002701823867952,c,ma
baker_2014,91,0.26222524504216305,c,ma
baker_2014,54,0.82163362512238,c,ma
baker_2014,31,1.0649549865357935,c,ma
baker_2014,40,0.9799578870122228,c,ma
baker_2014,40,0.28278500713637195,c,ma
baker_2014,26,0.4295790167172091,c,ma
baker_2014,42,0.5163977794943222,c,ma
baker_2014,50,0.652125970874945,c,ma
baker_2014,22,0.06002701823867952,c,ma
baker_2014,11,2.413627079052997,c,ma
baker_2014,23,0.628970902033151,c,ma
baker_2014,10,1.3518527388387496,c,ma
baker_2014,19,0.38705047652302255,c,ma
baker_2014,19,2.01646779478691,c,ma
baker_2014,52,0.4082482904638631,c,ma
baker_2014,60,0.796528209922106,c,ma
beaujean_2005,50,1.7098883461844767,c,ma
beaujean_2005,12,1.8901563813306996,c,ma
beaujean_2005,332,1.3474296535488626,c,ma
beaujean_2005,94,0.7612787387689364,c,ma
beaujean_2005,66,0.7956174410240378,c,ma
beaujean_2005,169,0.8431675349765342,c,ma
beaujean_2005,108,1.0943416503517989,c,ma
beaujean_2005,160,1.2425917964298328,c,ma
beaujean_2005,100,2.0530334514163506,c,ma
bodner_2009,60,0.25,c,ma
bodner_2009,60,-0.17,c,ma
bodner_2009,65,-1.12,c,ma
bodner_2009,38,0.34,c,ma
bodner_2009,38,0.59,c,ma
bodner_2009,32,0.44,c,ma
bodner_2009,47,-0.05,c,ma
bodner_2009,72,0.17,c,ma
bodner_2009,96,-0.05,c,ma
chen_2014,35,0.8470758203687988,c,ma
chen_2014,68,0.472672040177118,c,ma
chen_2014,51,0.652125970874945,c,ma
chen_2014,66,0.26222524504216305,c,ma
chen_2014,163,0.5608290087036863,c,ma
chen_2014,395,0.24174688920761409,c,ma
chen_2014,20,1.2500034765630976,c,ma
chen_2014,89,0.00800006400076801,c,ma
chen_2014,86,0.28278500713637195,c,ma
chen_2014,41,1.2500034765630976,c,ma
chen_2014,62,0.5833333333333334,c,ma
chen_2014,80,1.387461041260671,c,ma
chen_2014,71,0.3450221204771904,c,ma
chen_2014,87,0.04000800240080028,c,ma
chen_2014,24,1.3171055481963494,c,ma
chen_2014,65,-0.3241763593892431,c,ma
chen_2014,357,0.38705047652302255,c,ma
chen_2014,69,0.3241763593892431,c,ma
chen_2014,122,0.4944513860581975,c,ma
chen_2014,120,0.38705047652302255,c,ma
chen_2014,61,0.6060437322090948,c,ma
